"STATISTIC Label","Year","Country","Sex","Origin or Destination","UNIT","VALUE"
"Estimated Migration (Persons in April)","1987","United Kingdom (1)","Both sexes","Net migration","Thousand","-13.7"
"Estimated Migration (Persons in April)","1987","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","21.8"
"Estimated Migration (Persons in April)","1987","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","8.1"
"Estimated Migration (Persons in April)","1987","United Kingdom (1)","Male","Net migration","Thousand","-9"
"Estimated Migration (Persons in April)","1987","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","13.1"
"Estimated Migration (Persons in April)","1987","United Kingdom (1)","Male","Immigrants: All origins","Thousand","4.1"
"Estimated Migration (Persons in April)","1987","United Kingdom (1)","Female","Net migration","Thousand","-4.7"
"Estimated Migration (Persons in April)","1987","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","8.7"
"Estimated Migration (Persons in April)","1987","United Kingdom (1)","Female","Immigrants: All origins","Thousand","4"
"Estimated Migration (Persons in April)","1987","United States","Both sexes","Net migration","Thousand","-6.9"
"Estimated Migration (Persons in April)","1987","United States","Both sexes","Emigrants: All destinations","Thousand","9.9"
"Estimated Migration (Persons in April)","1987","United States","Both sexes","Immigrants: All origins","Thousand","3"
"Estimated Migration (Persons in April)","1987","United States","Male","Net migration","Thousand","-3.6"
"Estimated Migration (Persons in April)","1987","United States","Male","Emigrants: All destinations","Thousand","4.8"
"Estimated Migration (Persons in April)","1987","United States","Male","Immigrants: All origins","Thousand","1.2"
"Estimated Migration (Persons in April)","1987","United States","Female","Net migration","Thousand","-3.5"
"Estimated Migration (Persons in April)","1987","United States","Female","Emigrants: All destinations","Thousand","5.2"
"Estimated Migration (Persons in April)","1987","United States","Female","Immigrants: All origins","Thousand","1.7"
"Estimated Migration (Persons in April)","1987","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","Other countries (23)","Both sexes","Net migration","Thousand","-1.4"
"Estimated Migration (Persons in April)","1987","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","5.4"
"Estimated Migration (Persons in April)","1987","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","4"
"Estimated Migration (Persons in April)","1987","Other countries (23)","Male","Net migration","Thousand","-0.8"
"Estimated Migration (Persons in April)","1987","Other countries (23)","Male","Emigrants: All destinations","Thousand","2.6"
"Estimated Migration (Persons in April)","1987","Other countries (23)","Male","Immigrants: All origins","Thousand","1.8"
"Estimated Migration (Persons in April)","1987","Other countries (23)","Female","Net migration","Thousand","0.6"
"Estimated Migration (Persons in April)","1987","Other countries (23)","Female","Emigrants: All destinations","Thousand","2.8"
"Estimated Migration (Persons in April)","1987","Other countries (23)","Female","Immigrants: All origins","Thousand","2.2"
"Estimated Migration (Persons in April)","1987","All countries","Both sexes","Net migration","Thousand","-23"
"Estimated Migration (Persons in April)","1987","All countries","Both sexes","Emigrants: All destinations","Thousand","40.2"
"Estimated Migration (Persons in April)","1987","All countries","Both sexes","Immigrants: All origins","Thousand","17.2"
"Estimated Migration (Persons in April)","1987","All countries","Male","Net migration","Thousand","-13.6"
"Estimated Migration (Persons in April)","1987","All countries","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","All countries","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","All countries","Female","Net migration","Thousand","-15.1"
"Estimated Migration (Persons in April)","1987","All countries","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","All countries","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","-0.9"
"Estimated Migration (Persons in April)","1987","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","3.1"
"Estimated Migration (Persons in April)","1987","EU14 excl Irl (UK & Ireland)","Both sexes","Immigrants: All origins","Thousand","2.2"
"Estimated Migration (Persons in April)","1987","EU14 excl Irl (UK & Ireland)","Male","Net migration","Thousand","-0.2"
"Estimated Migration (Persons in April)","1987","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","1.2"
"Estimated Migration (Persons in April)","1987","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","1"
"Estimated Migration (Persons in April)","1987","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","-7.5"
"Estimated Migration (Persons in April)","1987","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","1.9"
"Estimated Migration (Persons in April)","1987","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","1.2"
"Estimated Migration (Persons in April)","1987","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1988","United Kingdom (1)","Both sexes","Net migration","Thousand","-30.3"
