STATISTIC Label,Year,Country,Sex,Origin or Destination,UNIT,VALUE,MigrationDirection,Total Migration
Estimated Migration (Persons in April),-1.6858544608470492,United Kingdom (1),Both sexes,Net migration,Thousand,-1.459942183590435,0,-3.145796644437484
Estimated Migration (Persons in April),-1.6858544608470492,United Kingdom (1),Both sexes,Emigrants: All destinations,Thousand,0.8289014006273369,0,-0.8569530602197123
Estimated Migration (Persons in April),-1.6858544608470492,United Kingdom (1),Both sexes,Immigrants: All origins,Thousand,-0.05439879947923989,1,-0.740253260326289
Estimated Migration (Persons in April),-1.6858544608470492,United Kingdom (1),Male,Net migration,Thousand,-1.156912187933434,0,-2.8427666487804832
Estimated Migration (Persons in April),-1.6858544608470492,United Kingdom (1),Male,Emigrants: All destinations,Thousand,0.26797353632608006,0,-1.4178809245209691
Estimated Migration (Persons in April),-1.6858544608470492,United Kingdom (1),Male,Immigrants: All origins,Thousand,-0.3122966681234959,1,-0.9981511289705449
Estimated Migration (Persons in April),-1.6858544608470492,United Kingdom (1),Female,Net migration,Thousand,-0.8796719791408589,0,-2.565526439987908
Estimated Migration (Persons in April),-1.6858544608470492,United Kingdom (1),Female,Emigrants: All destinations,Thousand,-0.01571411918260152,0,-1.7015685800296507
Estimated Migration (Persons in April),-1.6858544608470492,United Kingdom (1),Female,Immigrants: All origins,Thousand,-0.31874411483960224,1,-1.0045985756866513
Estimated Migration (Persons in April),-1.6858544608470492,United States,Both sexes,Net migration,Thousand,-1.0215158068951997,0,-2.707370267742249
Estimated Migration (Persons in April),-1.6858544608470492,United States,Both sexes,Emigrants: All destinations,Thousand,0.06165524141067535,0,-1.624199219436374
Estimated Migration (Persons in April),-1.6858544608470492,United States,Both sexes,Immigrants: All origins,Thousand,-0.3832185820006662,1,-1.0690730428477155
Estimated Migration (Persons in April),-1.6858544608470492,United States,Male,Net migration,Thousand,-0.8087500652636885,0,-2.494604526110738
Estimated Migration (Persons in April),-1.6858544608470492,United States,Male,Emigrants: All destinations,Thousand,-0.26716454111075105,0,-1.9530190019578002
Estimated Migration (Persons in April),-1.6858544608470492,United States,Male,Immigrants: All origins,Thousand,-0.49927262289058144,1,-1.1851270837376306
Estimated Migration (Persons in April),-1.6858544608470492,United States,Female,Net migration,Thousand,-0.8023026185475822,0,-2.4881570793946315
Estimated Migration (Persons in April),-1.6858544608470492,United States,Female,Emigrants: All destinations,Thousand,-0.24137475424632543,0,-1.9272292150933745
Estimated Migration (Persons in April),-1.6858544608470492,United States,Female,Immigrants: All origins,Thousand,-0.4670353893100494,1,-1.1528898501570986
Estimated Migration (Persons in April),-1.6858544608470492,Canada,Both sexes,Net migration,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Canada,Both sexes,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Canada,Both sexes,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Canada,Male,Net migration,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Canada,Male,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Canada,Male,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Canada,Female,Net migration,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Canada,Female,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Canada,Female,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Australia,Both sexes,Net migration,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Australia,Both sexes,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Australia,Both sexes,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Australia,Male,Net migration,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Australia,Male,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Australia,Male,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Australia,Female,Net migration,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Australia,Female,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Australia,Female,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,Other countries (23),Both sexes,Net migration,Thousand,-0.6669062375093479,0,-2.352760698356397
Estimated Migration (Persons in April),-1.6858544608470492,Other countries (23),Both sexes,Emigrants: All destinations,Thousand,-0.22847986081411262,0,-1.9143343216611617
Estimated Migration (Persons in April),-1.6858544608470492,Other countries (23),Both sexes,Immigrants: All origins,Thousand,-0.31874411483960224,1,-1.0045985756866513
Estimated Migration (Persons in April),-1.6858544608470492,Other countries (23),Male,Net migration,Thousand,-0.6282215572127094,0,-2.3140760180597586
Estimated Migration (Persons in April),-1.6858544608470492,Other countries (23),Male,Emigrants: All destinations,Thousand,-0.40900836886509184,0,-2.0948628297121408
Estimated Migration (Persons in April),-1.6858544608470492,Other countries (23),Male,Immigrants: All origins,Thousand,-0.46058794259394303,1,-1.1464424034409921
Estimated Migration (Persons in April),-1.6858544608470492,Other countries (23),Female,Net migration,Thousand,-0.5379573031872199,0,-2.223811764034269
Estimated Migration (Persons in April),-1.6858544608470492,Other countries (23),Female,Emigrants: All destinations,Thousand,-0.39611347543287906,0,-2.0819679362799284
Estimated Migration (Persons in April),-1.6858544608470492,Other countries (23),Female,Immigrants: All origins,Thousand,-0.4347981557295174,1,-1.1206526165765665
Estimated Migration (Persons in April),-1.6858544608470492,All countries,Both sexes,Net migration,Thousand,-2.05955472818833,0,-3.745409189035379
Estimated Migration (Persons in April),-1.6858544608470492,All countries,Both sexes,Emigrants: All destinations,Thousand,2.0152315963909144,0,0.3293771355438653
Estimated Migration (Persons in April),-1.6858544608470492,All countries,Both sexes,Immigrants: All origins,Thousand,0.5323188516864424,1,-0.1535356091606066
Estimated Migration (Persons in April),-1.6858544608470492,All countries,Male,Net migration,Thousand,-1.4534947368743287,0,-3.139349197721378
Estimated Migration (Persons in April),-1.6858544608470492,All countries,Male,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,All countries,Male,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,All countries,Female,Net migration,Thousand,-1.5502064376159246,0,-3.2360608984629735
Estimated Migration (Persons in April),-1.6858544608470492,All countries,Female,Emigrants: All destinations,Thousand,,0,-1.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,All countries,Female,Immigrants: All origins,Thousand,,1,-0.6858544608470492
Estimated Migration (Persons in April),-1.6858544608470492,EU14 excl Irl (UK & Ireland),Both sexes,Net migration,Thousand,-0.6346690039288159,0,-2.320523464775865
Estimated Migration (Persons in April),-1.6858544608470492,EU14 excl Irl (UK & Ireland),Both sexes,Emigrants: All destinations,Thousand,-0.37677113528455985,0,-2.062625596131609
Estimated Migration (Persons in April),-1.6858544608470492,EU14 excl Irl (UK & Ireland),Both sexes,Immigrants: All origins,Thousand,-0.4347981557295174,1,-1.1206526165765665
Estimated Migration (Persons in April),-1.6858544608470492,EU14 excl Irl (UK & Ireland),Male,Net migration,Thousand,-0.5895368769160709,0,-2.27539133776312
Estimated Migration (Persons in April),-1.6858544608470492,EU14 excl Irl (UK & Ireland),Male,Emigrants: All destinations,Thousand,-0.49927262289058144,0,-2.1851270837376306
Estimated Migration (Persons in April),-1.6858544608470492,EU14 excl Irl (UK & Ireland),Male,Immigrants: All origins,Thousand,-0.5121675163227942,1,-1.1980219771698435
Estimated Migration (Persons in April),-1.6858544608470492,EU14 excl Irl (UK & Ireland),Female,Net migration,Thousand,-1.0602004871918382,0,-2.7460549480388874
Estimated Migration (Persons in April),-1.6858544608470492,EU14 excl Irl (UK & Ireland),Female,Emigrants: All destinations,Thousand,-0.4541404958778366,0,-2.1399949567248857
Estimated Migration (Persons in April),-1.6858544608470492,EU14 excl Irl (UK & Ireland),Female,Immigrants: All origins,Thousand,-0.49927262289058144,1,-1.1851270837376306
